
Observation wavelength : 5.00e-07 m
Bond Albedo: 3.00e-01
The base line is: 2.00e+02 m
Flux is the thermal flux of the planet 
R flux is the reflective flux of the planet
The contrast is computed for the total flux

########################################################
HOSTS STARS

NORTHERN HEMISPHERE
Parsec			Magnitude		RA		DEC			Star
3.71e+02	Kepler-band	1.17e+01	2.85e+02	4.78e+01	Kepler-129
3.71e+02	Kepler-band	1.17e+01	2.85e+02	4.78e+01	Kepler-129
3.30e+02	Kepler-band	1.15e+01	2.88e+02	4.02e+01	Kepler-130
3.30e+02	Kepler-band	1.15e+01	2.88e+02	4.02e+01	Kepler-130
3.03e+02	Kepler-band	1.18e+01	2.83e+02	4.13e+01	Kepler-132
5.30e+02	Kepler-band	1.28e+01	2.97e+02	4.83e+01	Kepler-133
3.66e+02	Kepler-band	1.25e+01	2.96e+02	4.26e+01	Kepler-136
3.66e+02	Kepler-band	1.25e+01	2.96e+02	4.26e+01	Kepler-136
2.89e+02	Kepler-band	1.30e+01	2.82e+02	4.30e+01	Kepler-137
2.89e+02	Kepler-band	1.30e+01	2.82e+02	4.30e+01	Kepler-137
4.17e+02	Kepler-band	1.27e+01	2.82e+02	4.39e+01	Kepler-139
4.17e+02	Kepler-band	1.27e+01	2.82e+02	4.39e+01	Kepler-139
5.72e+02	Kepler-band	1.30e+01	2.87e+02	4.68e+01	Kepler-140
5.83e+02	Kepler-band	1.32e+01	2.95e+02	4.85e+01	Kepler-142
7.99e+02	Kepler-band	1.38e+01	2.94e+02	3.87e+01	Kepler-146
5.21e+02	Kepler-band	1.40e+01	2.86e+02	3.84e+01	Kepler-149
5.21e+02	Kepler-band	1.40e+01	2.86e+02	3.84e+01	Kepler-149
5.21e+02	Kepler-band	1.40e+01	2.86e+02	3.84e+01	Kepler-149
9.27e+02	Kepler-band	1.50e+01	2.88e+02	4.05e+01	Kepler-150
4.59e+02	Kepler-band	1.43e+01	2.87e+02	4.20e+01	Kepler-152
4.59e+02	Kepler-band	1.43e+01	2.87e+02	4.20e+01	Kepler-152
5.04e+02	Kepler-band	1.43e+01	2.82e+02	4.83e+01	Kepler-153
8.55e+02	Kepler-band	1.45e+01	2.90e+02	4.99e+01	Kepler-154
2.93e+02	Kepler-band	1.43e+01	2.88e+02	5.11e+01	Kepler-155
4.39e+02	Kepler-band	1.42e+01	2.90e+02	3.77e+01	Kepler-156
3.51e+02	Kepler-band	1.44e+01	2.84e+02	3.98e+01	Kepler-158
3.51e+02	Kepler-band	1.44e+01	2.84e+02	3.98e+01	Kepler-158
3.97e+02	Kepler-band	1.49e+01	2.97e+02	4.09e+01	Kepler-159
6.10e+01	Kepler-band	1.18e+01	2.89e+02	5.18e+01	Kepler-16
1.21e+03	Kepler-band	1.35e+01	2.98e+02	4.07e+01	Kepler-1647
9.24e+01	Kepler-band	1.71e+01	2.93e+02	4.18e+01	Kepler-1649
2.52e+02	Kepler-band	1.59e+01	2.94e+02	4.99e+01	Kepler-1652
7.55e+02	Kepler-band	1.54e+01	2.96e+02	4.13e+01	Kepler-1653
5.68e+02	Kepler-band	1.34e+01	2.82e+02	4.44e+01	Kepler-1654
2.15e+02	Kepler-band	1.11e+01	2.87e+02	3.92e+01	Kepler-1655
1.87e+02	V (Johnson)	1.16e+01	2.84e+02	3.99e+01	Kepler-1656
6.55e+02	Kepler-band	1.47e+01	2.93e+02	4.89e+01	Kepler-166
3.30e+02	Kepler-band	1.40e+01	2.93e+02	3.83e+01	Kepler-167
3.30e+02	Kepler-band	1.40e+01	2.93e+02	3.83e+01	Kepler-167
4.34e+02	Kepler-band	1.42e+01	2.86e+02	4.09e+01	Kepler-169
7.96e+02	Kepler-band	1.45e+01	2.83e+02	4.18e+01	Kepler-172
3.71e+02	Kepler-band	1.43e+01	2.87e+02	4.38e+01	Kepler-174
3.71e+02	Kepler-band	1.43e+01	2.87e+02	4.38e+01	Kepler-174
3.71e+02	Kepler-band	1.43e+01	2.87e+02	4.38e+01	Kepler-174
5.64e+02	Kepler-band	1.46e+01	2.95e+02	4.39e+01	Kepler-176
7.41e+02	Kepler-band	1.46e+01	2.87e+02	4.69e+01	Kepler-178
6.75e+02	Kepler-band	1.43e+01	2.96e+02	4.98e+01	Kepler-180
5.11e+02	Kepler-band	1.45e+01	2.82e+02	4.39e+01	Kepler-185
1.72e+02	Kepler-band	1.46e+01	2.99e+02	4.40e+01	Kepler-186
1.72e+02	Kepler-band	1.46e+01	2.99e+02	4.40e+01	Kepler-186
1.72e+02	Kepler-band	1.46e+01	2.99e+02	4.40e+01	Kepler-186
1.72e+02	Kepler-band	1.46e+01	2.99e+02	4.40e+01	Kepler-186
